,popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_BLACKPINK,artist_BTS,artist_ENHYPEN,artist_ITZY,artist_IU,artist_JEON SOMI,artist_MAMAMOO,artist_Others,artist_Red Velvet,artist_SEVENTEEN,artist_Stray Kids,artist_TOMORROW X TOGETHER,artist_TWICE,artist_aespa,artist_j-hope
47,74,198.26,0,0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,72,199.026,0,0.658,0.749,9,-2.967,0,0.0634,0.238,2.03e-06,0.272,0.442,128.909,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,75,197.288,0,0.706,0.756,4,-4.405,0,0.0845,0.0392,0.0,0.18,0.676,97.098,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,74,211.631,0,0.818,0.723,11,-4.82,1,0.114,0.00561,0.0,0.0866,0.607,102.945,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,75,264.84,0,0.488,0.427,6,-7.383,1,0.0382,0.354,0.0,0.0797,0.157,72.035,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,80,182.757,0,0.581,0.8,1,-2.613,1,0.411,0.154,0.0,0.0697,0.709,119.872,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,77,172.106,0,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,77,180.022,0,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,82,191.964,0,0.812,0.89,6,-2.661,0,0.209,0.0961,0.0,0.0222,0.69,100.006,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,78,184.601,0,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,76,191.462,0,0.759,0.886,1,-3.067,1,0.187,0.0103,2.04e-05,0.342,0.489,102.065,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,78,198.053,0,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,78,191.038,0,0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,76,181.466,0,0.74,0.848,2,-4.697,1,0.097,0.306,0.0,0.193,0.881,159.991,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,73,223.122,0,0.599,0.775,1,-4.018,0,0.0543,0.0217,0.0,0.0678,0.696,129.817,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,73,224.225,0,0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,72,275.695,0,0.531,0.661,1,-5.836,1,0.0907,0.103,0.0,0.0779,0.278,149.934,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,76,183.266,0,0.601,0.786,1,-3.706,1,0.234,0.213,0.0,0.209,0.79,172.156,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,72,240.361,0,0.508,0.559,2,-6.366,0,0.0276,0.288,0.0,0.131,0.329,135.866,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
